商品类别,商品品牌,商品名称,售价,售价来源平台,销售平台,好评率
家居家装,林氏木业,林氏木业窗帘限量款,700.29,拼多多,天猫旗舰店,96.8%
家居家装,林氏木业,林氏木业衣柜Pro,2011.66,京东,京东自营,90.2%
家居家装,林氏木业,林氏木业衣柜Pro,6803.72,京东,快手小店,90.6%
家居家装,林氏木业,林氏木业衣柜升级版 2025,1682.8,京东,淘宝店铺,94.1%
家居家装,欧派,欧派书桌升级版,6348.52,天猫,天猫旗舰店,91.4%
家居家装,欧派,欧派书桌升级版 2024,6302.75,拼多多,京东自营,90.6%
家居家装,欧派,欧派书桌标准版,5931.82,天猫,天猫旗舰店,98.2%
家居家装,欧派,欧派厨房置物架Max 2024,7359.87,京东,淘宝店铺,92.4%
家居家装,欧派,欧派厨房置物架升级版 2024,9570.66,淘宝,抖音商城,97.6%
家居家装,欧派,欧派厨房置物架新品,4368.64,拼多多,天猫旗舰店,92.5%
家居家装,欧派,欧派厨房置物架旗舰版 2024,6354.64,京东,快手小店,93.6%
家居家装,欧派,欧派台灯Max 2024,8541.76,淘宝,抖音商城,97.5%
家居家装,欧派,欧派台灯Pro 2024,3786.13,拼多多,抖音商城,94.7%
家居家装,欧派,欧派台灯青春版 2025,4342.37,拼多多,京东自营,91.5%
家居家装,欧派,欧派床垫Pro,2791.81,京东,抖音商城,96.4%
家居家装,欧派,欧派床垫升级版 2024,4994.29,拼多多,天猫旗舰店,92.0%
家居家装,欧派,欧派床垫旗舰版,2391.83,拼多多,快手小店,97.2%
家居家装,欧派,欧派插排Pro,7152.2,天猫,京东自营,91.9%
家居家装,欧派,欧派插排Pro 2024,2842.73,拼多多,京东自营,95.6%
家居家装,欧派,欧派插排青春版,5534.68,拼多多,拼多多旗舰店,91.7%
家居家装,欧派,欧派沙发Max 2025,8129.1,天猫,快手小店,97.4%
家居家装,欧派,欧派沙发Pro 2024,2433.61,天猫,快手小店,95.3%
家居家装,欧派,欧派沙发新品,6825.41,拼多多,淘宝店铺,98.1%
家居家装,欧派,欧派沙发旗舰版 2025,2235.88,苏宁易购,淘宝店铺,98.6%
家居家装,欧派,欧派窗帘Max,9923.85,苏宁易购,天猫旗舰店,91.2%
家居家装,欧派,欧派窗帘Max 2025,3740.48,苏宁易购,京东自营,94.8%
家居家装,欧派,欧派窗帘标准版 2025,7307.0,拼多多,拼多多旗舰店,93.7%
家居家装,欧派,欧派衣柜升级版,4248.38,淘宝,淘宝店铺,96.0%
家居家装,欧派,欧派衣柜青春版,4270.58,天猫,快手小店,94.6%
家居家装,欧派,欧派衣柜青春版 2024,9676.77,拼多多,京东自营,92.0%
家居家装,索菲亚,索菲亚书桌Pro 2025,2106.9,淘宝,京东自营,97.4%
家居家装,索菲亚,索菲亚书桌升级版 2024,30.76,拼多多,抖音商城,90.7%
家居家装,索菲亚,索菲亚书桌标准版,6366.62,淘宝,天猫旗舰店,97.7%
家居家装,索菲亚,索菲亚厨房置物架Max 2025,6865.87,苏宁易购,拼多多旗舰店,98.6%
家居家装,索菲亚,索菲亚厨房置物架标准版 2024,8706.49,天猫,京东自营,94.0%
家居家装,索菲亚,索菲亚厨房置物架青春版,8691.15,天猫,淘宝店铺,92.8%
家居家装,索菲亚,索菲亚台灯升级版,2604.37,拼多多,拼多多旗舰店,98.9%
家居家装,索菲亚,索菲亚台灯旗舰版 2025,1105.21,京东,淘宝店铺,96.3%
家居家装,索菲亚,索菲亚台灯标准版 2024,1259.82,京东,抖音商城,90.6%
家居家装,索菲亚,索菲亚床垫旗舰版 2025,6768.43,天猫,淘宝店铺,96.9%
家居家装,索菲亚,索菲亚床垫青春版 2024,9442.54,天猫,抖音商城,91.5%
家居家装,索菲亚,索菲亚床垫青春版 2025,8416.69,京东,快手小店,90.1%
家居家装,索菲亚,索菲亚插排Pro,6657.58,京东,京东自营,97.8%
家居家装,索菲亚,索菲亚插排升级版 2024,4859.18,京东,京东自营,97.5%
家居家装,索菲亚,索菲亚插排升级版 2025,7920.2,苏宁易购,淘宝店铺,93.7%
家居家装,索菲亚,索菲亚沙发升级版 2024,1670.58,淘宝,抖音商城,94.2%
家居家装,索菲亚,索菲亚沙发旗舰版 2024,3985.31,京东,抖音商城,95.8%
家居家装,索菲亚,索菲亚沙发青春版 2025,8867.32,拼多多,快手小店,95.8%
家居家装,索菲亚,索菲亚窗帘Max 2024,7572.01,淘宝,淘宝店铺,96.0%
家居家装,索菲亚,索菲亚窗帘Max 2024,6113.32,淘宝,京东自营,99.7%
家居家装,索菲亚,索菲亚窗帘旗舰版 2024,9993.46,淘宝,快手小店,98.1%
家居家装,索菲亚,索菲亚窗帘联名款,1159.67,淘宝,拼多多旗舰店,97.8%
家居家装,索菲亚,索菲亚衣柜Max 2025,2893.79,天猫,淘宝店铺,94.3%
家居家装,索菲亚,索菲亚衣柜Max 2025,8145.67,京东,快手小店,91.8%
家居家装,索菲亚,索菲亚衣柜升级版 2025,1356.17,苏宁易购,京东自营,94.8%
家居家装,雷士照明,雷士照明书桌升级版 2025,6516.96,苏宁易购,京东自营,93.6%
家居家装,雷士照明,雷士照明书桌旗舰版 2024,4583.0,天猫,拼多多旗舰店,91.6%
家居家装,雷士照明,雷士照明书桌旗舰版 2024,2921.16,天猫,快手小店,91.4%
家居家装,雷士照明,雷士照明厨房置物架Max,5195.71,京东,天猫旗舰店,95.8%
家居家装,雷士照明,雷士照明厨房置物架旗舰版,1818.75,天猫,京东自营,95.9%
家居家装,雷士照明,雷士照明厨房置物架青春版 2024,8007.32,天猫,抖音商城,91.2%
家居家装,雷士照明,雷士照明台灯Pro 2025,5967.02,拼多多,快手小店,91.7%
家居家装,雷士照明,雷士照明台灯旗舰版 2024,2461.09,拼多多,拼多多旗舰店,91.2%
家居家装,雷士照明,雷士照明台灯旗舰版 2025,909.68,拼多多,淘宝店铺,94.6%
家居家装,雷士照明,雷士照明床垫Max,9810.73,天猫,快手小店,93.3%
家居家装,雷士照明,雷士照明床垫升级版 2025,7360.48,天猫,拼多多旗舰店,99.1%
家居家装,雷士照明,雷士照明床垫旗舰版 2024,3001.23,天猫,京东自营,98.1%
家居家装,雷士照明,雷士照明插排旗舰版 2025,4459.06,京东,京东自营,90.1%
家居家装,雷士照明,雷士照明插排标准版 2024,6418.83,天猫,京东自营,99.0%
家居家装,雷士照明,雷士照明插排青春版 2025,9872.7,京东,抖音商城,94.7%
家居家装,雷士照明,雷士照明沙发Max,5285.0,天猫,快手小店,92.8%
家居家装,雷士照明,雷士照明沙发青春版 2024,3383.7,淘宝,拼多多旗舰店,96.7%
家居家装,雷士照明,雷士照明沙发青春版 2024,986.64,苏宁易购,京东自营,93.2%
家居家装,雷士照明,雷士照明窗帘Max 2025,212.15,苏宁易购,抖音商城,95.5%
家居家装,雷士照明,雷士照明窗帘升级版 2024,4849.17,拼多多,淘宝店铺,96.4%
家居家装,雷士照明,雷士照明窗帘青春版,1007.82,苏宁易购,天猫旗舰店,90.6%
家居家装,雷士照明,雷士照明衣柜旗舰版,3774.53,天猫,京东自营,99.7%
家居家装,雷士照明,雷士照明衣柜标准版 2024,9741.0,京东,京东自营,91.8%
家居家装,雷士照明,雷士照明衣柜青春版 2025,3394.44,天猫,快手小店,94.3%
家居家装,顾家家居,顾家家居书桌Max 2024,5719.56,淘宝,淘宝店铺,99.3%
家居家装,顾家家居,顾家家居书桌升级版,4528.57,天猫,淘宝店铺,92.3%
家居家装,顾家家居,顾家家居书桌青春版,1356.15,拼多多,抖音商城,90.8%
家居家装,顾家家居,顾家家居厨房置物架Max 2024,8530.79,天猫,抖音商城,90.3%
家居家装,顾家家居,顾家家居厨房置物架升级版 2024,9433.45,淘宝,淘宝店铺,90.1%
家居家装,顾家家居,顾家家居厨房置物架标准版 2024,8459.48,拼多多,天猫旗舰店,94.2%
家居家装,顾家家居,顾家家居台灯标准版,3611.61,淘宝,天猫旗舰店,95.4%
家居家装,顾家家居,顾家家居台灯标准版 2024,9015.33,苏宁易购,抖音商城,92.9%
家居家装,顾家家居,顾家家居台灯青春版 2025,795.34,天猫,京东自营,92.7%
家居家装,顾家家居,顾家家居床垫Pro,8516.4,拼多多,天猫旗舰店,99.6%
家居家装,顾家家居,顾家家居床垫升级版 2025,3889.95,苏宁易购,淘宝店铺,98.7%
家居家装,顾家家居,顾家家居床垫旗舰版,7849.1,苏宁易购,京东自营,97.8%
家居家装,顾家家居,顾家家居插排旗舰版 2024,2511.24,淘宝,天猫旗舰店,97.4%
家居家装,顾家家居,顾家家居插排旗舰版 2025,9978.99,苏宁易购,淘宝店铺,99.9%
家居家装,顾家家居,顾家家居插排标准版 2024,2828.94,拼多多,拼多多旗舰店,93.4%
家居家装,顾家家居,顾家家居沙发Max 2025,4650.24,淘宝,抖音商城,93.2%
家居家装,顾家家居,顾家家居沙发Max 2025,9212.11,京东,天猫旗舰店,95.8%
家居家装,顾家家居,顾家家居沙发旗舰版 2024,7160.05,淘宝,抖音商城,94.9%
家居家装,顾家家居,顾家家居窗帘升级版,7236.79,天猫,抖音商城,92.1%
家居家装,顾家家居,顾家家居窗帘联名款,7426.52,天猫,拼多多旗舰店,96.3%
家居家装,顾家家居,顾家家居窗帘青春版 2025,133.72,天猫,拼多多旗舰店,96.5%
家居家装,顾家家居,顾家家居窗帘青春版 2025,7579.09,拼多多,淘宝店铺,97.2%
家居家装,顾家家居,顾家家居衣柜Max 2024,4683.03,拼多多,淘宝店铺,94.0%
家居家装,顾家家居,顾家家居衣柜Pro,5845.28,苏宁易购,淘宝店铺,94.6%
家居家装,顾家家居,顾家家居衣柜Pro 2024,261.79,淘宝,快手小店,94.4%
家用电器,TCL,TCL冰箱Pro,9397.81,天猫,天猫旗舰店,92.6%
家用电器,TCL,TCL冰箱升级版,16292.8,淘宝,天猫旗舰店,99.2%
家用电器,TCL,TCL冰箱标准版,5895.51,苏宁易购,拼多多旗舰店,93.8%
家用电器,TCL,TCL微波炉Pro 2025,6812.74,苏宁易购,拼多多旗舰店,98.2%
家用电器,TCL,TCL微波炉旗舰版,19599.57,京东,抖音商城,95.8%
家用电器,TCL,TCL微波炉旗舰版 2025,6085.84,淘宝,淘宝店铺,98.1%
家用电器,TCL,TCL洗衣机升级版 2024,19918.91,淘宝,拼多多旗舰店,94.6%
家用电器,TCL,TCL洗衣机标准版,18910.78,天猫,天猫旗舰店,95.0%
家用电器,TCL,TCL洗衣机青春版 2024,1095.84,苏宁易购,快手小店,92.8%
家用电器,TCL,TCL电热水器Pro 2025,18785.91,天猫,抖音商城,97.5%
家用电器,TCL,TCL电热水器旗舰版 2025,2489.77,拼多多,淘宝店铺,99.7%
家用电器,TCL,TCL电热水器标准版 2024,10148.56,淘宝,抖音商城,97.6%
家用电器,TCL,TCL电视Max,11460.5,苏宁易购,淘宝店铺,91.9%
家用电器,TCL,TCL电视升级版 2024,14584.59,淘宝,京东自营,97.6%
家用电器,TCL,TCL电视旗舰版 2024,5806.82,京东,拼多多旗舰店,90.1%
家用电器,TCL,TCL电饭煲Pro 2024,10448.14,苏宁易购,天猫旗舰店,91.5%
家用电器,TCL,TCL电饭煲Pro 2025,6458.19,苏宁易购,快手小店,93.9%
家用电器,TCL,TCL电饭煲青春版 2024,10065.55,天猫,快手小店,90.4%
家用电器,TCL,TCL空气净化器Max 2024,19344.69,苏宁易购,抖音商城,97.8%
家用电器,TCL,TCL空气净化器升级版 2025,1149.43,苏宁易购,快手小店,94.8%
家用电器,TCL,TCL空气净化器旗舰版 2025,15520.42,天猫,京东自营,93.8%
家用电器,TCL,TCL空调Max,13811.75,拼多多,拼多多旗舰店,91.6%
家用电器,TCL,TCL空调Max,6888.63,淘宝,快手小店,91.4%
家用电器,TCL,TCL空调Pro 2024,2727.32,苏宁易购,京东自营,93.7%
家用电器,小天鹅,小天鹅冰箱Pro,13444.21,苏宁易购,京东自营,98.2%
家用电器,小天鹅,小天鹅冰箱升级版 2024,6293.3,拼多多,天猫旗舰店,96.5%
家用电器,小天鹅,小天鹅冰箱青春版 2025,18767.1,拼多多,快手小店,93.1%
家用电器,小天鹅,小天鹅微波炉Max 2025,7559.61,京东,淘宝店铺,93.8%
家用电器,小天鹅,小天鹅微波炉升级版 2024,9056.97,拼多多,京东自营,95.1%
家用电器,小天鹅,小天鹅微波炉升级版 2024,17706.59,拼多多,京东自营,99.2%
家用电器,小天鹅,小天鹅洗衣机升级版,6919.22,天猫,天猫旗舰店,97.6%
家用电器,小天鹅,小天鹅洗衣机升级版,1662.27,京东,抖音商城,98.4%
家用电器,小天鹅,小天鹅洗衣机旗舰版 2025,8542.08,淘宝,淘宝店铺,93.6%
家用电器,小天鹅,小天鹅电热水器升级版 2024,19315.41,天猫,淘宝店铺,97.8%
家用电器,小天鹅,小天鹅电热水器旗舰版 2025,19689.82,淘宝,拼多多旗舰店,94.6%
家用电器,小天鹅,小天鹅电热水器青春版 2024,15079.01,天猫,抖音商城,97.8%
家用电器,小天鹅,小天鹅电视升级版 2025,7614.42,苏宁易购,天猫旗舰店,91.6%
家用电器,小天鹅,小天鹅电视旗舰版 2024,997.17,天猫,拼多多旗舰店,93.6%
家用电器,小天鹅,小天鹅电视青春版 2025,17687.76,淘宝,抖音商城,90.4%
家用电器,小天鹅,小天鹅电饭煲升级版 2024,1165.81,淘宝,抖音商城,94.8%
家用电器,小天鹅,小天鹅电饭煲标准版 2025,16936.88,淘宝,京东自营,98.4%
家用电器,小天鹅,小天鹅电饭煲青春版 2025,8447.79,天猫,抖音商城,91.6%
家用电器,小天鹅,小天鹅空气净化器Max 2024,12355.97,京东,淘宝店铺,99.0%
家用电器,小天鹅,小天鹅空气净化器升级版,6461.27,淘宝,天猫旗舰店,91.0%
家用电器,小天鹅,小天鹅空气净化器升级版,5829.29,天猫,快手小店,98.2%
家用电器,小天鹅,小天鹅空调Max 2024,13618.7,淘宝,京东自营,90.5%
家用电器,小天鹅,小天鹅空调Pro,11215.73,淘宝,快手小店,93.8%
家用电器,小天鹅,小天鹅空调旗舰版 2025,17481.07,苏宁易购,快手小店,93.3%
家用电器,松下,松下冰箱Max,19926.77,拼多多,天猫旗舰店,92.8%
家用电器,松下,松下冰箱Pro,19214.53,天猫,拼多多旗舰店,90.3%
家用电器,松下,松下冰箱青春版 2024,18281.09,淘宝,快手小店,91.2%
家用电器,松下,松下微波炉旗舰版 2024,12337.69,天猫,抖音商城,90.9%
家用电器,松下,松下微波炉青春版,3530.76,苏宁易购,淘宝店铺,96.2%
家用电器,松下,松下微波炉青春版,16526.44,京东,快手小店,90.3%
家用电器,松下,松下洗衣机Pro 2024,17045.56,天猫,淘宝店铺,97.0%
家用电器,松下,松下洗衣机旗舰版 2024,13398.98,苏宁易购,抖音商城,97.0%
家用电器,松下,松下洗衣机标准版,17074.66,拼多多,京东自营,94.5%
家用电器,松下,松下电热水器升级版 2024,12892.27,苏宁易购,淘宝店铺,94.5%
家用电器,松下,松下电热水器升级版 2025,12841.71,天猫,拼多多旗舰店,91.8%
家用电器,松下,松下电热水器旗舰版 2024,10574.57,苏宁易购,京东自营,97.6%
家用电器,松下,松下电视Max,7300.01,拼多多,抖音商城,95.7%
家用电器,松下,松下电视升级版 2025,17698.98,拼多多,快手小店,90.7%
家用电器,松下,松下电视经典款,15239.9,淘宝,快手小店,94.5%
家用电器,松下,松下电视青春版,2540.47,天猫,天猫旗舰店,92.0%
家用电器,松下,松下电饭煲升级版 2024,18702.24,苏宁易购,淘宝店铺,92.2%
家用电器,松下,松下电饭煲标准版 2024,4029.52,淘宝,天猫旗舰店,99.5%
家用电器,松下,松下电饭煲青春版,16648.74,淘宝,天猫旗舰店,95.1%
家用电器,松下,松下空气净化器Pro 2024,4994.72,拼多多,淘宝店铺,98.0%
家用电器,松下,松下空气净化器旗舰版,10025.02,淘宝,快手小店,96.2%
家用电器,松下,松下空气净化器青春版 2024,13066.95,拼多多,抖音商城,97.6%
家用电器,松下,松下空调升级版 2025,7407.95,苏宁易购,京东自营,93.8%
家用电器,松下,松下空调标准版 2025,2865.0,淘宝,快手小店,93.6%
家用电器,松下,松下空调青春版,13621.96,淘宝,拼多多旗舰店,99.4%
家用电器,格力,格力冰箱Pro,8018.8,拼多多,京东自营,97.3%
家用电器,格力,格力冰箱Pro 2024,2513.09,拼多多,天猫旗舰店,94.9%
家用电器,格力,格力冰箱升级版 2024,10711.41,苏宁易购,快手小店,92.3%
家用电器,格力,格力微波炉标准版,7455.82,京东,抖音商城,92.8%
家用电器,格力,格力微波炉青春版 2025,7768.67,京东,拼多多旗舰店,95.7%
家用电器,格力,格力微波炉青春版 2025,3869.32,苏宁易购,天猫旗舰店,96.0%
家用电器,格力,格力洗衣机Max,17259.13,苏宁易购,拼多多旗舰店,95.7%
家用电器,格力,格力洗衣机升级版 2025,9271.13,淘宝,京东自营,96.8%
家用电器,格力,格力洗衣机旗舰版 2025,8428.58,京东,淘宝店铺,91.1%
家用电器,格力,格力电热水器升级版,12098.67,京东,天猫旗舰店,97.5%
家用电器,格力,格力电热水器旗舰版 2024,9347.75,苏宁易购,拼多多旗舰店,95.6%
家用电器,格力,格力电热水器旗舰版 2025,16323.79,天猫,淘宝店铺,92.3%
家用电器,格力,格力电视Max,4963.7,苏宁易购,京东自营,95.8%
家用电器,格力,格力电视Max 2024,14948.14,天猫,京东自营,92.2%
家用电器,格力,格力电视青春版 2025,2394.71,淘宝,淘宝店铺,95.0%
家用电器,格力,格力电饭煲Pro,8867.09,淘宝,淘宝店铺,94.6%
家用电器,格力,格力电饭煲旗舰版 2025,12905.25,淘宝,快手小店,99.8%
家用电器,格力,格力电饭煲青春版,7122.09,拼多多,拼多多旗舰店,90.7%
家用电器,格力,格力空气净化器标准版 2024,2185.58,淘宝,快手小店,98.9%
家用电器,格力,格力空气净化器标准版 2025,12967.55,拼多多,拼多多旗舰店,90.4%
家用电器,格力,格力空气净化器青春版 2025,12245.83,淘宝,拼多多旗舰店,93.6%
家用电器,格力,格力空调Pro 2024,2332.38,苏宁易购,拼多多旗舰店,96.7%
家用电器,格力,格力空调标准版,6118.2,天猫,淘宝店铺,92.1%
家用电器,格力,格力空调经典款,19393.79,苏宁易购,京东自营,94.8%
家用电器,格力,格力空调青春版 2025,6257.29,苏宁易购,京东自营,92.2%
家用电器,海信,海信冰箱Max,19151.29,淘宝,天猫旗舰店,92.8%
家用电器,海信,海信冰箱Pro 2025,9634.23,天猫,拼多多旗舰店,93.7%
家用电器,海信,海信冰箱青春版 2024,10983.45,淘宝,抖音商城,96.7%
家用电器,海信,海信微波炉升级版,19942.8,拼多多,天猫旗舰店,93.9%
家用电器,海信,海信微波炉旗舰版 2024,17549.89,苏宁易购,抖音商城,90.1%
家用电器,海信,海信微波炉标准版 2024,5783.24,苏宁易购,抖音商城,99.8%
家用电器,海信,海信洗衣机Max 2024,11265.89,淘宝,淘宝店铺,99.3%
家用电器,海信,海信洗衣机Pro 2024,14135.38,拼多多,淘宝店铺,96.8%
家用电器,海信,海信洗衣机标准版 2025,13573.48,拼多多,淘宝店铺,93.8%
家用电器,海信,海信电热水器旗舰版,1172.0,拼多多,京东自营,94.1%
家用电器,海信,海信电热水器旗舰版,231.96,天猫,拼多多旗舰店,95.4%
家用电器,海信,海信电热水器青春版,4946.64,苏宁易购,天猫旗舰店,96.6%
家用电器,海信,海信电视Max 2025,5224.54,天猫,抖音商城,94.7%
家用电器,海信,海信电视Pro 2025,13961.92,苏宁易购,快手小店,91.4%
家用电器,海信,海信电视升级版 2024,964.86,京东,淘宝店铺,99.5%
家用电器,海信,海信电饭煲Pro 2025,1304.56,苏宁易购,天猫旗舰店,97.6%
家用电器,海信,海信电饭煲旗舰版 2024,9615.9,淘宝,淘宝店铺,92.0%
家用电器,海信,海信电饭煲青春版 2025,14497.35,天猫,拼多多旗舰店,99.3%
家用电器,海信,海信空气净化器Max,17039.56,天猫,京东自营,94.6%
家用电器,海信,海信空气净化器Pro,14656.34,天猫,京东自营,96.4%
家用电器,海信,海信空气净化器旗舰版 2024,15841.55,天猫,天猫旗舰店,95.6%
家用电器,海信,海信空调升级版 2024,13849.24,苏宁易购,拼多多旗舰店,94.1%
家用电器,海信,海信空调旗舰版 2025,1366.53,天猫,抖音商城,91.4%
家用电器,海信,海信空调青春版 2025,2312.62,淘宝,拼多多旗舰店,90.2%
家用电器,海尔,海尔冰箱Pro 2024,10174.3,京东,快手小店,94.3%
家用电器,海尔,海尔冰箱旗舰版 2025,11024.84,苏宁易购,抖音商城,93.2%
家用电器,海尔,海尔冰箱标准版 2024,12215.87,淘宝,抖音商城,90.7%
家用电器,海尔,海尔微波炉Max 2024,9142.94,淘宝,快手小店,91.6%
家用电器,海尔,海尔微波炉升级版 2025,12710.13,苏宁易购,天猫旗舰店,90.3%
家用电器,海尔,海尔微波炉标准版,17413.17,拼多多,京东自营,95.6%
家用电器,海尔,海尔洗衣机Max 2024,16569.82,京东,淘宝店铺,93.9%
家用电器,海尔,海尔洗衣机Max 2024,13344.69,天猫,快手小店,93.7%
家用电器,海尔,海尔洗衣机旗舰版 2025,14452.09,拼多多,天猫旗舰店,92.1%
家用电器,海尔,海尔电热水器Max 2025,1151.23,淘宝,淘宝店铺,92.8%
家用电器,海尔,海尔电热水器标准版 2024,16926.57,淘宝,抖音商城,93.6%
家用电器,海尔,海尔电热水器标准版 2025,10211.29,拼多多,天猫旗舰店,91.5%
家用电器,海尔,海尔电视Max,1941.64,拼多多,京东自营,90.8%
家用电器,海尔,海尔电视旗舰版 2025,7533.49,京东,抖音商城,91.3%
家用电器,海尔,海尔电视青春版 2025,6679.07,淘宝,快手小店,91.2%
家用电器,海尔,海尔电饭煲升级版 2024,16922.23,苏宁易购,抖音商城,99.6%
家用电器,海尔,海尔电饭煲升级版 2024,14091.62,淘宝,淘宝店铺,93.1%
家用电器,海尔,海尔电饭煲新品,4342.75,拼多多,抖音商城,94.3%
家用电器,海尔,海尔电饭煲旗舰版 2025,11191.42,淘宝,京东自营,96.0%
家用电器,海尔,海尔空气净化器Pro 2025,11975.97,天猫,天猫旗舰店,98.7%
家用电器,海尔,海尔空气净化器青春版,13520.76,拼多多,拼多多旗舰店,92.7%
家用电器,海尔,海尔空气净化器青春版 2024,8358.83,苏宁易购,京东自营,92.1%
家用电器,海尔,海尔空调Max 2024,8599.06,拼多多,京东自营,91.1%
家用电器,海尔,海尔空调旗舰版 2025,6122.39,京东,京东自营,96.4%
家用电器,海尔,海尔空调标准版 2024,10140.27,京东,快手小店,99.4%
家用电器,美的,美的冰箱Max 2024,13498.1,苏宁易购,拼多多旗舰店,96.7%
家用电器,美的,美的冰箱Pro,15839.85,苏宁易购,京东自营,90.1%
家用电器,美的,美的冰箱升级版,17219.99,拼多多,抖音商城,97.2%
家用电器,美的,美的微波炉升级版 2025,185.34,天猫,天猫旗舰店,98.5%
家用电器,美的,美的微波炉联名款,12625.13,苏宁易购,天猫旗舰店,90.3%
家用电器,美的,美的微波炉青春版,11780.43,天猫,淘宝店铺,98.0%
家用电器,美的,美的微波炉青春版 2024,15995.47,京东,天猫旗舰店,91.1%
家用电器,美的,美的洗衣机Max 2025,6133.52,天猫,京东自营,94.0%
家用电器,美的,美的洗衣机旗舰版 2024,2281.84,京东,抖音商城,92.3%
家用电器,美的,美的洗衣机青春版 2024,18315.13,京东,快手小店,92.2%
家用电器,美的,美的电热水器Max 2024,19016.53,京东,快手小店,98.5%
家用电器,美的,美的电热水器Pro 2025,18045.7,京东,拼多多旗舰店,96.4%
家用电器,美的,美的电热水器青春版 2024,18787.98,淘宝,天猫旗舰店,92.8%
家用电器,美的,美的电视升级版 2024,9142.9,苏宁易购,拼多多旗舰店,96.6%
家用电器,美的,美的电视标准版 2024,19918.08,天猫,抖音商城,91.1%
家用电器,美的,美的电视联名款,16530.82,天猫,京东自营,99.8%
家用电器,美的,美的电视青春版 2025,14566.53,京东,拼多多旗舰店,98.8%
家用电器,美的,美的电饭煲Pro,19367.27,拼多多,京东自营,99.4%
家用电器,美的,美的电饭煲Pro,19776.87,天猫,京东自营,97.8%
家用电器,美的,美的电饭煲旗舰版,12879.67,京东,京东自营,95.9%
家用电器,美的,美的电饭煲联名款,14371.87,天猫,拼多多旗舰店,95.6%
家用电器,美的,美的空气净化器升级版 2024,1170.17,苏宁易购,京东自营,97.3%
家用电器,美的,美的空气净化器旗舰版,9592.01,苏宁易购,抖音商城,97.7%
家用电器,美的,美的空气净化器标准版 2024,15826.0,淘宝,京东自营,92.4%
家用电器,美的,美的空调Pro 2025,17423.79,拼多多,京东自营,98.0%
家用电器,美的,美的空调旗舰版 2024,3618.97,苏宁易购,淘宝店铺,91.3%
家用电器,美的,美的空调青春版 2025,18279.99,淘宝,拼多多旗舰店,98.2%
家用电器,西门子,西门子冰箱Max,12345.27,拼多多,天猫旗舰店,92.4%
家用电器,西门子,西门子冰箱旗舰版 2025,1830.15,京东,抖音商城,99.6%
家用电器,西门子,西门子冰箱青春版,12685.94,天猫,淘宝店铺,95.7%
家用电器,西门子,西门子微波炉Max,14570.8,苏宁易购,拼多多旗舰店,99.0%
家用电器,西门子,西门子微波炉Max 2025,14388.96,拼多多,淘宝店铺,91.6%
家用电器,西门子,西门子微波炉Pro 2024,2167.62,淘宝,淘宝店铺,93.2%
家用电器,西门子,西门子洗衣机Max,12759.78,淘宝,快手小店,99.7%
家用电器,西门子,西门子洗衣机标准版 2024,15796.89,京东,抖音商城,93.4%
家用电器,西门子,西门子洗衣机青春版 2025,15755.01,京东,拼多多旗舰店,95.0%
家用电器,西门子,西门子电热水器Max 2025,9535.45,天猫,淘宝店铺,90.4%
家用电器,西门子,西门子电热水器Pro,17332.41,京东,淘宝店铺,93.3%
家用电器,西门子,西门子电热水器标准版,17729.65,淘宝,抖音商城,93.1%
家用电器,西门子,西门子电视升级版 2025,9361.06,天猫,天猫旗舰店,96.9%
家用电器,西门子,西门子电视旗舰版 2024,2779.85,淘宝,快手小店,93.5%
家用电器,西门子,西门子电视标准版 2025,15551.9,淘宝,天猫旗舰店,94.5%
家用电器,西门子,西门子电视联名款,9531.04,淘宝,天猫旗舰店,98.0%
家用电器,西门子,西门子电饭煲Max 2024,14898.52,拼多多,淘宝店铺,98.9%
家用电器,西门子,西门子电饭煲升级版 2024,13880.4,苏宁易购,淘宝店铺,93.6%
家用电器,西门子,西门子电饭煲标准版 2025,8563.81,天猫,抖音商城,94.3%
家用电器,西门子,西门子空气净化器Pro 2025,19602.14,京东,快手小店,99.4%
家用电器,西门子,西门子空气净化器升级版 2025,13602.63,天猫,京东自营,94.3%
家用电器,西门子,西门子空气净化器旗舰版 2024,7347.99,天猫,京东自营,97.9%
家用电器,西门子,西门子空调升级版,11033.74,苏宁易购,拼多多旗舰店,97.2%
家用电器,西门子,西门子空调旗舰版 2025,9211.85,拼多多,抖音商城,91.1%
家用电器,西门子,西门子空调标准版 2024,4850.91,天猫,拼多多旗舰店,91.2%
手机数码,Apple,Apple平板电脑升级版 2024,7700.53,京东,天猫旗舰店,98.0%
手机数码,Apple,Apple平板电脑旗舰版 2024,4488.23,淘宝,京东自营,91.5%
手机数码,Apple,Apple平板电脑标准版 2025,2664.01,苏宁易购,拼多多旗舰店,96.4%
手机数码,Apple,Apple无线耳机Pro 2024,2801.64,京东,抖音商城,92.6%
手机数码,Apple,Apple无线耳机升级版,5002.63,淘宝,天猫旗舰店,94.5%
手机数码,Apple,Apple无线耳机升级版 2025,996.26,淘宝,京东自营,96.5%
手机数码,Apple,Apple显示器旗舰版 2024,1538.02,拼多多,京东自营,94.3%
手机数码,Apple,Apple显示器旗舰版 2025,3496.72,天猫,抖音商城,95.0%
手机数码,Apple,Apple显示器标准版 2025,9396.31,苏宁易购,淘宝店铺,96.7%
手机数码,Apple,Apple智能手机Max,483.38,苏宁易购,抖音商城,92.2%
